,SepalLengthCm,Label
0,5.1,Grupo1
1,4.9,Grupo1
2,4.7,Grupo1
3,4.6,Grupo1
4,5.0,Grupo1
5,5.4,Grupo2
6,4.6,Grupo1
7,5.0,Grupo1
8,4.4,Grupo1
9,4.9,Grupo1
10,5.4,Grupo2
11,4.8,Grupo1
12,4.8,Grupo1
13,4.3,Grupo1
14,5.8,Grupo2
15,5.7,Grupo2
16,5.4,Grupo2
17,5.1,Grupo1
18,5.7,Grupo2
19,5.1,Grupo1
20,5.4,Grupo2
21,5.1,Grupo1
22,4.6,Grupo1
23,5.1,Grupo1
24,4.8,Grupo1
25,5.0,Grupo1
26,5.0,Grupo1
27,5.2,Grupo1
28,5.2,Grupo1
29,4.7,Grupo1
30,4.8,Grupo1
31,5.4,Grupo2
32,5.2,Grupo1
33,5.5,Grupo2
34,4.9,Grupo1
35,5.0,Grupo1
36,5.5,Grupo2
37,4.9,Grupo1
38,4.4,Grupo1
39,5.1,Grupo1
40,5.0,Grupo1
41,4.5,Grupo1
42,4.4,Grupo1
43,5.0,Grupo1
44,5.1,Grupo1
45,4.8,Grupo1
46,5.1,Grupo1
47,4.6,Grupo1
48,5.3,Grupo1
49,5.0,Grupo1
50,7.0,Grupo3
51,6.4,Grupo2
52,6.9,Grupo3
53,5.5,Grupo2
54,6.5,Grupo2
55,5.7,Grupo2
56,6.3,Grupo2
57,4.9,Grupo1
58,6.6,Grupo2
59,5.2,Grupo1
60,5.0,Grupo1
61,5.9,Grupo2
62,6.0,Grupo2
63,6.1,Grupo2
64,5.6,Grupo2
65,6.7,Grupo2
66,5.6,Grupo2
67,5.8,Grupo2
68,6.2,Grupo2
69,5.6,Grupo2
70,5.9,Grupo2
71,6.1,Grupo2
72,6.3,Grupo2
73,6.1,Grupo2
74,6.4,Grupo2
75,6.6,Grupo2
76,6.8,Grupo3
77,6.7,Grupo2
78,6.0,Grupo2
79,5.7,Grupo2
80,5.5,Grupo2
81,5.5,Grupo2
82,5.8,Grupo2
83,6.0,Grupo2
84,5.4,Grupo2
85,6.0,Grupo2
86,6.7,Grupo2
87,6.3,Grupo2
88,5.6,Grupo2
89,5.5,Grupo2
90,5.5,Grupo2
91,6.1,Grupo2
92,5.8,Grupo2
93,5.0,Grupo1
94,5.6,Grupo2
95,5.7,Grupo2
96,5.7,Grupo2
97,6.2,Grupo2
98,5.1,Grupo1
99,5.7,Grupo2
100,6.3,Grupo2
101,5.8,Grupo2
102,7.1,Grupo3
103,6.3,Grupo2
104,6.5,Grupo2
105,7.6,Grupo3
106,4.9,Grupo1
107,7.3,Grupo3
108,6.7,Grupo2
109,7.2,Grupo3
110,6.5,Grupo2
111,6.4,Grupo2
112,6.8,Grupo3
113,5.7,Grupo2
114,5.8,Grupo2
115,6.4,Grupo2
116,6.5,Grupo2
117,7.7,Grupo3
118,7.7,Grupo3
119,6.0,Grupo2
120,6.9,Grupo3
121,5.6,Grupo2
122,7.7,Grupo3
123,6.3,Grupo2
124,6.7,Grupo2
125,7.2,Grupo3
126,6.2,Grupo2
127,6.1,Grupo2
128,6.4,Grupo2
129,7.2,Grupo3
130,7.4,Grupo3
131,7.9,Grupo3
132,6.4,Grupo2
133,6.3,Grupo2
134,6.1,Grupo2
135,7.7,Grupo3
136,6.3,Grupo2
137,6.4,Grupo2
138,6.0,Grupo2
139,6.9,Grupo3
140,6.7,Grupo2
141,6.9,Grupo3
142,5.8,Grupo2
143,6.8,Grupo3
144,6.7,Grupo2
145,6.7,Grupo2
146,6.3,Grupo2
147,6.5,Grupo2
148,6.2,Grupo2
149,5.9,Grupo2
